Planning;Infra;infras_latitude;infras_longitude
Trocadéro;Trocadéro;48.863045;2.2871938
Stade de France;Stade de France;;
Hôtel de Ville (site de départ) - Invalides (site d'arrivée);Hôtel de ville de Paris;;
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes;Stade nautique;;
Arena Porte de La Chapelle;Arena La Chapelle;;
Stade Pierre Mauroy*;Stade Pierre Mauroy;50.6119044;3.130508
Arena Bercy;Arena Bercy;;
La Concorde 1;Stade de la Concorde;;
La Concorde;Stade de la Concorde;;
Stade BMX de Saint-Quentin-en-Yvelines;Stade BMX de Saint-Quentin-en-Yvelines;;
Arena Paris Nord;Arena Paris nord;;
Stade Roland-Garros - P.Chatrier;Stade Roland-Garros - Court Philippe-Chatrier;48.8471909;2.2492432
Stade nautique de Vaires-sur-Marne - Bassin eaux vives;Stade nautique;;
Vélodrome National de Saint-Quentin-en-Yvelines;Vélodrome National de Saint-Quentin-en-Yvelines;;
Départ Invalides - Arrivée Pont Alexandre III;Invalides;;
Site d'escalade du Bourget;Site d'escalade du Bourget;;
Grand Palais;Grand Palais;;
Parc des Princes;Parc des Princes;;
Stade Geoffroy-Guichard;Stade Geoffroy-Guichard;45.4607567;4.3900932
Stade de la Beaujoire;Stade de la Beaujoire;47.256005;-1.5247552
Stade de Nice;Stade de Nice;43.704133;7.193602
Stade de Bordeaux;Stade de Bordeaux;44.897357;-0.5616058
Stade de Lyon;Stade de Lyon;45.7653624;4.9820543
Stade de Marseille;Stade de Marseille;43.269835;5.3959117
Golf National;Golf national;;
Porte de La Chapelle Arena;Arena La Chapelle;;
Arena Paris Sud 6;Arena Paris Sud 6 (Porte de Versailles);;
Stade Pierre Mauroy;Stade Pierre Mauroy;50.6119044;3.130508
Stade Yves-du-Manoir - Terrain 1;Stade Yves du Manoir;;
Stade Yves-du-Manoir - Terrain 2;Stade Yves du Manoir;;
Arena Champ-de-Mars;Arena Champs de Mars;;
Paris La Défense Arena;La Défense Arena;;
Centre aquatique;Centre aquatique;;
Pont Alexandre III;Pont Alexandre III;48.864255805873015;2.3136034924969806
Château de Versailles;Château de Versailles;;
La Concorde 3;Stade de la Concorde;;
La Concorde 4;Stade de la Concorde;;
Teahupoo;Teahupoo;-17.840272;-149.2223704
Stade Roland-Garros - Court Suzanne-Lenglen;Stade Roland-Garros - Court Suzanne-Lenglen;48.8473187;2.2464444
Stade Roland-Garros - Court Simonne-Mathieu;Stade Roland-Garros - Court Simonne-Mathieu;48.8458351;2.2535363
Stade Roland-Garros - Courts Annexes;Stade Roland-Garros - Courts Annexes;48.847071675338896;2.247546162983012
Stade Roland-Garros - Court Philippe-Chatrier;Stade Roland-Garros - Court Philippe-Chatrier;48.8471909;2.2492432
Arena Paris Sud 4;Arena Paris Sud 4 (Porte de Versailles);;
Invalides;Invalides;;
Centre National de Tir de Châteauroux*;Centre National de Tir de Châteauroux;46.816422;1.7588578
Stade Tour Eiffel;Stade Tour Eiffel;;
Arena Paris Sud 1;Arena Paris Sud 1 (Porte de Versailles);;
Colline d'Elancourt;Colline d'Elancourt;;
