,lieu_epreuve,latitude,longitude
0,Stade de France,48.924388,2.359871
16,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,48.862229,2.636374
24,Arena Porte de La Chapelle,48.899483,2.361803
50,Stade BMX de Saint-Quentin-en-Yvelines,48.787261,2.034736
52,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,48.862229,2.636374
66,Vélodrome National de Saint-Quentin-en-Yvelines,48.788046,2.034987
75,Grand Palais,48.866041,2.312406
91,Parc des Princes,48.841319,2.253076
109,Arena Bercy,48.838649,2.378496
125,Porte de La Chapelle Arena,48.899483,2.361803
130,Arena Paris Sud 6,48.829624,2.290777
170,Stade Yves-du-Manoir - Terrain 2,48.930873,2.249836
171,Stade Yves-du-Manoir - Terrain 1,48.930873,2.249836
211,Arena Champ-de-Mars,48.854536,2.300413
239,Paris La Défense Arena,48.89566,2.22971
261,Arena Paris Nord,48.971314,2.519183
262,Château de Versailles,48.815115,2.08208
266,Centre aquatique,48.923457,2.355527
301,Invalides,48.862286,2.313222
319,Stade Tour Eiffel,48.857232,2.296084
