num_jour,date,discipline,num_session,debut_epreuve,fin_epreuve,lieu_epreuve,nom_epreuve,parsing_epreuve,NOM,Geo Point,SITES OLYMPIQUES PARALYMPIQUES,SPORTS,latitude,longitude,url,capacite
7,Vendredi 2 Août,Athletisme,ATH02,10:00,13:00,Stade de France,"Décathlon - hommes, 100 m Lancer de marteau - hommes, qualifications Saut en hauteur - femmes, qualifications 100 m - femmes, tour préliminaire Décathlon - saut en longueur, hommes 1 500 m - hommes, 1er tour 100 m - femmes, 1er tour Décathlon - hommes, lancer de poids","{""content"": [{""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": """"}, {""epreuve"": ""100 m Lancer de marteau"", ""genre"": ""hommes"", ""etape"": ""qualifications ""}, {""epreuve"": ""Saut en hauteur"", ""genre"": ""femmes"", ""etape"": ""qualifications ""}, {""epreuve"": ""100 m"", ""genre"": ""femmes"", ""etape"": ""tour pr\u00e9liminaire ""}, {""epreuve"": ""D\u00e9cathlon"", ""genre"": ""saut en longueur"", ""etape"": ""hommes ""}, {""epreuve"": ""1 500 m"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""100 m"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": ""lancer de poids""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
7,Vendredi 2 Août,Athletisme,ATH03,17:40,22:00,Stade de France,"Décathlon - hommes, saut en hauteur 5 000 m - femmes, 1er tour Triple saut - femmes, qualifications Lancer de disque - femmes, qualifications Relais 4 x 400 m - mixte, 1er tour 800 m - femmes, 1er tour Lancer de poids - hommes, qualifications Décathlon - hommes, 400 m 10 000 m - hommes, finale","{""content"": [{""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": ""saut en hauteur ""}, {""epreuve"": ""5 000 m"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Triple saut"", ""genre"": ""femmes"", ""etape"": ""qualifications ""}, {""epreuve"": ""Lancer de disque"", ""genre"": ""femmes"", ""etape"": ""qualifications ""}, {""epreuve"": ""Relais 4 x 400 m"", ""genre"": ""mixte"", ""etape"": ""1er tour ""}, {""epreuve"": ""800 m"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Lancer de poids"", ""genre"": ""hommes"", ""etape"": ""qualifications ""}, {""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": """"}, {""epreuve"": ""400 m 10 000 m"", ""genre"": ""hommes"", ""etape"": ""finale""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
8,Samedi 3 Août,Athletisme,ATH04,10:00,16:00,Stade de France,"Décathlon - hommes, 110 m haies Saut à la perche - hommes, qualifications 100 m - hommes, tour préliminaire Décathlon - hommes, lancer de disque 800 m - femmes, Repêchages 100 m - hommes, 1er tour Décathlon - hommes, saut à la perche","{""content"": [{""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": """"}, {""epreuve"": ""110 m haies Saut \u00e0 la perche"", ""genre"": ""hommes"", ""etape"": ""qualifications ""}, {""epreuve"": ""100 m"", ""genre"": ""hommes"", ""etape"": ""tour pr\u00e9liminaire ""}, {""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": ""lancer de disque ""}, {""epreuve"": ""800 m"", ""genre"": ""femmes"", ""etape"": ""Rep\u00eachages ""}, {""epreuve"": ""100 m"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": ""saut \u00e0 la perche""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
8,Samedi 3 Août,Athletisme,ATH05,19:00,22:00,Stade de France,"1 500 m - hommes, Repêchages Lancer de poids - hommes, finale 100 m - femmes, demi-finales Décathlon - hommes, lancer de javelot Décathlon - hommes, 1 500 m","{""content"": [{""epreuve"": ""1 500 m"", ""genre"": ""hommes"", ""etape"": ""Rep\u00eachages ""}, {""epreuve"": ""Lancer de poids"", ""genre"": ""hommes"", ""etape"": ""finale ""}, {""epreuve"": ""100 m"", ""genre"": ""femmes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": ""lancer de javelot ""}, {""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": """"}, {""epreuve"": ""D\u00e9cathlon"", ""genre"": ""hommes"", ""etape"": ""1 500 m""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
9,Dimanche 4 Août,Athletisme,ATH06,10:00,13:15,Stade de France,"3 000 m steeple - femmes, 1er tour Lancer de marteau - femmes, qualifications 200 m - femmes, 1er tour Saut en longueur - hommes, qualifications 110 m haies - hommes, 1er tour 400 m haies - femmes, 1er tour 110 m haies - hommes, 1er tour","{""content"": [{""epreuve"": ""3 000 m steeple"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Lancer de marteau"", ""genre"": ""femmes"", ""etape"": ""qualifications ""}, {""epreuve"": ""200 m"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Saut en longueur"", ""genre"": ""hommes"", ""etape"": ""qualifications ""}, {""epreuve"": ""110 m haies"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""400 m haies"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""110 m haies"", ""genre"": ""hommes"", ""etape"": ""1er tour""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
9,Dimanche 4 Août,Athletisme,ATH07,18:30,22:00,Stade de France,"400 m - hommes, 1er tour 100 m - hommes, demi-finales 800 m - femmes, demi-finales 1 500 m - hommes, demi-finales Saut en hauteur - femmes, finale Lancer de marteau - hommes, finale 100 m - hommes, finale","{""content"": [{""epreuve"": ""400 m"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""100 m"", ""genre"": ""hommes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""800 m"", ""genre"": ""femmes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""1 500 m"", ""genre"": ""hommes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""Saut en hauteur"", ""genre"": ""femmes"", ""etape"": ""finale ""}, {""epreuve"": ""Lancer de marteau"", ""genre"": ""hommes"", ""etape"": ""finale ""}, {""epreuve"": ""100 m"", ""genre"": ""hommes"", ""etape"": ""finale""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
10,Lundi 5 Août,Athletisme,ATH08,10:00,13:15,Stade de France,"400 m haies - hommes, 1er tour Lancer de disque - hommes, qualifications Saut à la perche - femmes, qualifications 400 m haies - femmes, Repêchages 400 m - hommes, Repêchages 400 m - femmes, 1er tour 200 m - femmes, Repechages","{""content"": [{""epreuve"": ""400 m haies"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Lancer de disque"", ""genre"": ""hommes"", ""etape"": ""qualifications ""}, {""epreuve"": ""Saut \u00e0 la perche"", ""genre"": ""femmes"", ""etape"": ""qualifications ""}, {""epreuve"": ""400 m haies"", ""genre"": ""femmes"", ""etape"": ""Rep\u00eachages ""}, {""epreuve"": ""400 m"", ""genre"": ""hommes"", ""etape"": ""Rep\u00eachages ""}, {""epreuve"": ""400 m"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""200 m"", ""genre"": ""femmes"", ""etape"": """"}, {""epreuve"": ""200 m"", ""genre"": ""femmes"", ""etape"": ""Repechages""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
10,Lundi 5 Août,Athletisme,ATH09,18:30,22:00,Stade de France,"3 000 m steeple - hommes, 1er tour 200 m - hommes, 1er tour 200 m - femmes, demi-finales","{""content"": [{""epreuve"": ""3 000 m steeple"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""200 m"", ""genre"": ""hommes"", ""etape"": ""1er tour ""}, {""epreuve"": ""200 m"", ""genre"": ""femmes"", ""etape"": ""demi-finales""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
11,Mardi 6 Août,Athletisme,ATH10,10:00,13:00,Stade de France,"1 500 m - femmes, 1er tour Lancer de javelot - hommes, qualifications 110 m haies - hommes, Repêchages Saut en longueur - femmes, qualifications 400 m - femmes, Repêchages 400 m haies - hommes, Repêchages 200 m - hommes, Repêchages","{""content"": [{""epreuve"": ""1 500 m"", ""genre"": ""femmes"", ""etape"": ""1er tour ""}, {""epreuve"": ""Lancer de javelot"", ""genre"": ""hommes"", ""etape"": ""qualifications ""}, {""epreuve"": ""110 m haies"", ""genre"": ""hommes"", ""etape"": ""Rep\u00eachages ""}, {""epreuve"": ""Saut en longueur"", ""genre"": ""femmes"", ""etape"": ""qualifications ""}, {""epreuve"": ""400 m"", ""genre"": ""femmes"", ""etape"": ""Rep\u00eachages ""}, {""epreuve"": ""400 m haies"", ""genre"": ""hommes"", ""etape"": ""Rep\u00eachages ""}, {""epreuve"": ""200 m"", ""genre"": ""hommes"", ""etape"": ""Rep\u00eachages""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
11,Mardi 6 Août,Athletisme,ATH11,19:00,22:00,Stade de France,"400 m - hommes, demi-finales 400 m haies - femmes, demi-finales","{""content"": [{""epreuve"": ""400 m"", ""genre"": ""hommes"", ""etape"": ""demi-finales ""}, {""epreuve"": ""400 m haies"", ""genre"": ""femmes"", ""etape"": ""demi-finales""}]}",Stade de France,"48.924388, 2.359871","Site olympique,Site paralympique","Athlétisme,Para athlétisme,Rugby",48.924388,2.359871,https://www.paris2024.org/fr/sport/Athletisme/,80000.0
